入荷管理番号,入荷管理行番号,入荷管理詳細行番号,ステータス,荷主入荷NO,入荷予定日,入荷受付日,入荷確定日,取引先ID,取引先名,出荷先ID,出荷先名,業務区分,業務区分名,商品ID,商品名,検索名称,品質区分ID,品質区分名,ブロック,ブロック略称,ロケーション,ロット,有効期限,予定数,受付数,検品数,不良内容区分ID,不良内容区分名,不良理由区分ID,不良理由区分名,作成日時,更新日時,返品理由区分ID,返品理由区分名,備考,検索名称2,バーコード,ヘッダ予備項目００１,ヘッダ予備項目００２,ヘッダ予備項目００３,ヘッダ予備項目００４,ヘッダ予備項目００５,ヘッダ予備項目００６,ヘッダ予備項目００７,ヘッダ予備項目００８,ヘッダ予備項目００９,ヘッダ予備項目０１０,明細予備項目００１,明細予備項目００２,明細予備項目００３,明細予備項目００４,明細予備項目００５,明細予備項目００６,明細予備項目００７,明細予備項目００８,明細予備項目００９,明細予備項目０１０
"AR00170001612","1","","未入荷","AYG(RT)_BK2_20251120","20251120","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100042","レトルト_フィッシュ50g","レトルト","1","良品","","","","202710B1D3_AYG","20271013","2069","0","0","","","","","20251118093106","20251118093106","","","【便】AYGチャーター","","4582515551476","","","","","","","","","","","","","","","","","","","",""
"AR00170001612","2","","未入荷","AYG(RT)_BK2_20251120","20251120","","","AYG","青柳食品株式会社","0","青柳食品株式会社","1","通常入荷","100057","【卸】レトルト_フィッシュ50g","レトルト","1","良品","","","","202710B1E4_AYG","20271014","5547","0","0","","","","","20251118093106","20251118093106","","","【便】AYGチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001613","1","","未入荷","TSF_BK1_20251127preFIX","20251127","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704B1D3_TSF","20270413","22400","0","0","","","","","20251118125127","20251118125333","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001613","2","","未入荷","TSF_BK1_20251127preFIX","20251127","","","TSF","株式会社 タカ商フードミーティング","0","株式会社 タカ商フードミーティング","1","通常入荷","100020","ココグルメ_チキン100g","冷凍","1","良品","","","","202704B1E4_TSF","20270414","22400","0","0","","","","","20251118125127","20251118125333","","","【便】TSFチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","1","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310030","にゃっち_まぐろ10g×5本_通販","レトルト","1","良品","","","","202710B1C2_EBS","20271012","8280","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551841","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","2","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310029","にゃっち_チキン10g×5本_通販","レトルト","1","良品","","","","202710B1D3_EBS","20271013","8280","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551834","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","3","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310026","にゃっち_かつお10g×5本_通販","レトルト","1","良品","","","","202710B1A0_EBS","20271010","8280","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551780","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","4","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310028","にゃっち_まぐろ10g×10本_通販","レトルト","1","良品","","","","202710B1C2_EBS","20271012","7830","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551827","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","5","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310027","にゃっち_チキン10g×10本_通販","レトルト","1","良品","","","","202710B1D3_EBS","20271013","7830","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551810","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","6","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310025","にゃっち_かつお10g×10本_通販","レトルト","1","良品","","","","202710B1A0_EBS","20271010","6840","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551773","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","7","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310016","にゃっち_まぐろ10g×4本_卸","レトルト","1","良品","","","","202710B1C2_EBS","20271012","4992","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551605","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","8","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310015","にゃっち_チキン10g×4本_卸","レトルト","1","良品","","","","202710B1D3_EBS","20271013","4992","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551599","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","9","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310023","にゃっち_かつお10g×4本_卸","レトルト","1","良品","","","","202710B1A0_EBS","20271010","6432","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","4582515551759","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","10","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310018","にゃっち_まぐろ10g×4本_モール","レトルト","1","良品","","","","202710B1C2_EBS","20271012","17040","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001616","11","","未入荷","EBS(RT)_BK2_20251128preFIX","20251128","","","EBS","ティケイ・エビス株式会社","0","ティケイ・エビス株式会社","1","通常入荷","310017","にゃっち_チキン10g×4本_モール","レトルト","1","良品","","","","202710B1D3_EBS","20271013","16620","0","0","","","","","20251118190717","20251118190717","","","【便】EBSチャーター","","","","","","","","","","","","","","","","","","","","","",""
"AR00170001617","1","","未入荷","MEL_BK2_20251120","20251120","","","MEL","株式会社メルセン","0","株式会社メルセン","1","通常入荷","100083","鹿皮ガム94g","レトルト","1","良品","","","","202611B1K9_MEL","20261119","80","0","0","","","","","20251119165251","20251119165251","","","佐川急便：1987-8936-2295","","4582515551452","","","","","","","","","","","","","","","","","","","",""
