倉庫ID,業務区分ID,商品ID,month_code,合計出荷数
8,7,61000058,2505,11
8,7,61000058,2506,9
8,7,61000058,2507,16
8,7,61000058,2508,10
8,7,61000058,2509,6
8,7,61000059,2406,363
8,7,61000059,2407,510
8,7,61000059,2408,459
8,7,61000059,2409,443
8,7,61000059,2410,339
8,7,61000059,2411,260
8,7,61000059,2412,229
8,7,61000059,2501,161
8,7,61000059,2502,147
8,7,61000059,2503,169
8,7,61000059,2504,255
8,7,61000059,2505,276
8,7,61000059,2506,278
8,7,61000059,2507,235
8,7,61000059,2508,269
8,7,61000059,2509,161
8,7,61000060,2406,162
8,7,61000060,2407,209
8,7,61000060,2408,190
8,7,61000060,2409,199
8,7,61000060,2410,166
8,7,61000060,2411,92
8,7,61000060,2412,82
8,7,61000060,2501,55
8,7,61000060,2502,65
8,7,61000060,2503,44
8,7,61000060,2504,53
8,7,61000060,2505,62
8,7,61000060,2506,73
8,7,61000060,2507,94
8,7,61000060,2508,85
8,7,61000060,2509,52
8,7,61000061,2406,87
8,7,61000061,2407,86
8,7,61000061,2408,98
8,7,61000061,2409,95
8,7,61000061,2410,113
8,7,61000061,2411,44
8,7,61000061,2412,17
8,7,61000061,2501,15
8,7,61000061,2502,8
8,7,61000061,2503,3
8,7,61000061,2504,10
8,7,61000061,2505,11
8,7,61000061,2506,13
8,7,61000061,2507,15
8,7,61000061,2508,26
8,7,61000061,2509,7
8,7,61000062,2412,273
8,7,61000062,2501,11
8,7,61000062,2502,1
8,7,61000063,2412,86
8,7,61000064,2412,34
8,7,61000065,2412,102
8,7,61000066,2410,69
8,7,61000066,2412,30
8,7,61000066,2501,51
8,7,61000066,2502,62
8,7,61000066,2503,57
8,7,61000066,2504,75
8,7,61000066,2505,68
8,7,61000066,2506,72
8,7,61000066,2507,83
8,7,61000066,2508,123
8,7,61000066,2509,72
8,7,61000067,2410,22
8,7,61000067,2412,5
8,7,61000067,2501,5
8,7,61000067,2502,13
8,7,61000067,2503,16
8,7,61000067,2504,17
8,7,61000067,2505,23
8,7,61000067,2506,14
8,7,61000067,2507,15
8,7,61000067,2508,17
8,7,61000067,2509,11
8,7,61000068,2410,4
8,7,61000068,2412,3
8,7,61000068,2501,2
8,7,61000068,2503,4
8,7,61000068,2504,5
8,7,61000068,2505,2
8,7,61000068,2506,1
8,7,61000068,2507,3
8,7,61000068,2508,1
8,7,61000068,2509,4
8,7,61000069,2501,1
8,7,61000069,2503,2
8,7,61000069,2504,2
8,7,61000069,2505,6
8,7,61000069,2506,3
8,7,61000069,2507,4
8,7,61000069,2508,2
8,7,61000069,2509,3
8,7,61000070,2410,3
8,7,61000070,2501,3
8,7,61000070,2502,2
8,7,61000070,2503,2
8,7,61000070,2504,3
8,7,61000070,2505,1
8,7,61000070,2506,1
8,7,61000070,2507,4
8,7,61000070,2508,1
8,7,61000070,2509,5
8,7,61000071,2412,3
8,7,61000072,2412,4
8,7,61000073,2502,264
8,7,61000073,2503,909
8,7,61000073,2504,4
8,7,61000074,2502,5
8,7,61000074,2503,35
8,7,61000075,2502,10
8,7,61000075,2503,37
8,7,61000076,2502,11
8,7,61000076,2503,32
8,7,61000076,2504,2
8,7,61000077,2501,45
8,7,61000077,2502,129
8,7,61000077,2503,29
8,7,61000078,2501,9
8,7,61000078,2502,28
8,7,61000078,2503,14
8,7,61000079,2501,3
8,7,61000079,2502,19
8,7,61000079,2503,5
8,7,61000080,2504,87
8,7,61000080,2505,1304
8,7,61000080,2506,323
8,7,61000080,2507,68
8,7,61000080,2508,1
8,7,61000082,2505,29
8,7,61000082,2506,7
8,7,61000083,2504,1
8,7,61000083,2505,21
8,7,61000083,2507,31
8,7,61000083,2508,47
8,7,61000083,2509,18
8,7,62000012,2401,237
8,7,62000012,2402,326
8,7,62000012,2403,325
8,7,62000012,2404,384
8,7,62000012,2405,317
8,7,62000012,2406,289
8,7,62000012,2407,341
8,7,62000012,2408,425
8,7,62000012,2409,390
8,7,62000012,2410,351
